date,bottles_sold_forecast,forecast_lower_95,forecast_upper_95,model
2022-02-01,2736810.535668632,2393508.014717762,3080113.056619502,HoltWintersAdditive
2022-03-01,2766188.188822003,2422885.667871133,3109490.709772873,HoltWintersAdditive
2022-04-01,2795565.8419753746,2452263.3210245045,3138868.3629262447,HoltWintersAdditive
2022-05-01,2824943.495128746,2481640.974177876,3168246.0160796163,HoltWintersAdditive
2022-06-01,2854321.148282117,2511018.627331247,3197623.6692329873,HoltWintersAdditive
2022-07-01,2883698.8014354887,2540396.2804846186,3227001.322386359,HoltWintersAdditive
2022-08-01,2913076.4545888603,2569773.93363799,3256378.9755397304,HoltWintersAdditive
2022-09-01,2942454.107742232,2599151.5867913617,3285756.628693102,HoltWintersAdditive
2022-10-01,2971831.760895603,2628529.2399447327,3315134.281846473,HoltWintersAdditive
2022-11-01,3001209.4140489744,2657906.8930981043,3344511.9349998445,HoltWintersAdditive
2022-12-01,3030587.067202346,2687284.546251476,3373889.588153216,HoltWintersAdditive
2023-01-01,3059964.720355717,2716662.199404847,3403267.241306587,HoltWintersAdditive
